region,county,scenario,scenario_label,return_period,n_buildings_fixed_sample,mean_damage,mean_damage_ratio,median_damage_ratio,median_damage,std_damage,mean_building_value,median_building_value,std_building_value
Florida_PNAS_2C,Lee,S2,No Mangroves,RP100,77596," $370,826.62 ",0.8879825903133944,1.0," $312,195.18 "," $490,579.26 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S2,No Mangroves,RP100,23908," $416,649.04 ",0.9032290284059523,1.0," $289,158.03 "," $928,136.92 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S2,No Mangroves,RP100,24020," $831,337.63 ",0.7531348517019479,1.0," $437,754.50 "," $2,022,567.01 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S2,No Mangroves,RP100,61257," $457,973.77 ",0.8625311731278897,1.0," $298,751.79 "," $1,455,162.66 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S1CC,CC 2050,RP010,39631," $300,888.54 ",0.7544113700791056,0.956375915801525," $227,029.00 "," $306,814.99 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S1CC,CC 2050,RP010,27915," $500,454.88 ",0.7277535888591401,0.8867808419871333," $333,074.46 "," $1,034,750.26 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S1CC,CC 2050,RP010,29835," $350,082.66 ",0.6903091739909425,0.8023570904984711," $245,823.79 "," $689,776.10 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S1CC,CC 2050,RP010,77596," $287,175.72 ",0.7049307167116722,0.8304696551412344," $218,768.04 "," $377,951.39 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S1CC,CC 2050,RP010,23908," $359,221.98 ",0.7933255777498239,1.0," $246,724.79 "," $819,120.24 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S1CC,CC 2050,RP010,24020," $682,009.58 ",0.6453653961232623,0.48575159644281574," $378,971.19 "," $1,624,921.79 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S1CC,CC 2050,RP010,61257," $405,964.04 ",0.7635376718216356,1.0," $267,142.46 "," $1,365,421.22 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S1CC,CC 2050,RP025,39631," $340,066.31 ",0.855769387213888,1.0," $267,985.57 "," $320,381.72 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S1CC,CC 2050,RP025,27915," $568,259.94 ",0.8289081643686569,1.0," $387,351.07 "," $1,196,815.83 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S1CC,CC 2050,RP025,29835," $399,955.72 ",0.7871460000905951,1.0," $291,768.55 "," $745,897.79 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S1CC,CC 2050,RP025,77596," $342,405.80 ",0.8333853966426552,1.0," $285,993.69 "," $419,687.01 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S1CC,CC 2050,RP025,23908," $393,280.55 ",0.8617136602971107,1.0," $271,404.18 "," $878,856.35 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
Florida_PNAS_5,Miami-Dade,S1CC,CC 2050,RP025,24020," $777,928.74 ",0.7254312128697742,0.9043839636421205," $424,182.26 "," $1,850,064.39 "," $1,557,103.65 "," $562,141.90 "," $4,796,691.29 "
Florida_PNAS_1B,Pinellas,S1CC,CC 2050,RP025,61257," $437,621.84 ",0.8294802990347213,1.0," $287,915.38 "," $1,397,130.92 "," $582,781.81 "," $345,305.90 "," $2,001,444.74 "
Florida_PNAS_2C,Charlotte,S1CC,CC 2050,RP050,39631," $357,447.70 ",0.89367594347814,1.0," $281,898.40 "," $333,101.44 "," $418,270.25 "," $321,991.38 "," $480,883.27 "
Florida_PNAS_2C+3B,Collier,S1CC,CC 2050,RP050,27915," $600,343.31 ",0.8555715709055566,1.0," $402,381.95 "," $1,412,138.41 "," $788,410.15 "," $466,225.54 "," $2,907,310.39 "
Florida_PNAS_1B,Hillsborough,S1CC,CC 2050,RP050,29835," $428,080.12 ",0.8366483398521389,1.0," $319,620.42 "," $824,948.18 "," $558,262.61 "," $404,926.07 "," $1,331,628.06 "
Florida_PNAS_2C,Lee,S1CC,CC 2050,RP050,77596," $363,691.81 ",0.8770630189871742,1.0," $306,361.62 "," $456,618.08 "," $444,173.86 "," $360,282.31 "," $831,919.48 "
Florida_PNAS_1B,Manatee,S1CC,CC 2050,RP050,23908," $414,254.16 ",0.9003075306919411,1.0," $287,271.28 "," $921,061.68 "," $513,321.62 "," $332,907.28 "," $1,701,150.43 "
