region,county,scenario,scenario_label,return_period,n_buildings_fixed_sample,mean_damage,mean_damage_ratio,median_damage_ratio,median_damage,std_damage,mean_building_value,median_building_value,std_building_value
USA_FL_W2_06,Hillsborough,S2CC,No Mangroves + CC 2050,RP010,82," $293,553.51 ",0.6200287374874538,0.4966795677939016," $234,466.73 "," $207,783.05 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S2CC,No Mangroves + CC 2050,RP010,10764," $258,910.80 ",0.7101776161658225,0.9494508844673633," $165,733.49 "," $355,333.85 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S2CC,No Mangroves + CC 2050,RP010,11872," $322,104.13 ",0.7656383572672235,0.9892892477482558," $221,408.65 "," $710,227.78 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S2CC,No Mangroves + CC 2050,RP010,5040," $809,463.55 ",0.4688717803484464,0.345328235848554," $327,565.57 "," $1,869,053.75 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S2CC,No Mangroves + CC 2050,RP010,21827," $461,134.78 ",0.7923050270279267,1.0," $298,016.14 "," $1,096,941.69 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S2CC,No Mangroves + CC 2050,RP025,2203," $358,844.36 ",0.8784969572254429,1.0," $248,444.19 "," $356,106.65 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S2CC,No Mangroves + CC 2050,RP025,8797," $547,741.96 ",0.8674312597159514,1.0," $436,320.12 "," $783,318.57 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S2CC,No Mangroves + CC 2050,RP025,82," $342,407.19 ",0.7250957223263361,0.7724386258858442," $324,646.18 "," $199,211.37 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S2CC,No Mangroves + CC 2050,RP025,10764," $301,213.37 ",0.81522680850626,1.0," $219,238.70 "," $379,595.68 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S2CC,No Mangroves + CC 2050,RP025,11872," $376,081.85 ",0.8702403882961531,1.0," $266,389.92 "," $763,363.40 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S2CC,No Mangroves + CC 2050,RP025,5040," $841,351.39 ",0.5047352964351879,0.37322738395811716," $361,700.87 "," $1,905,533.08 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S2CC,No Mangroves + CC 2050,RP025,21827," $499,493.70 ",0.8598765967920398,1.0," $322,138.98 "," $1,155,477.24 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S2CC,No Mangroves + CC 2050,RP050,2203," $368,523.04 ",0.896765164501161,1.0," $255,701.38 "," $359,819.20 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S2CC,No Mangroves + CC 2050,RP050,8797," $567,253.37 ",0.8873024560034265,1.0," $443,661.05 "," $875,205.99 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S2CC,No Mangroves + CC 2050,RP050,82," $413,076.67 ",0.8797170609878404,0.9997003856313228," $390,717.04 "," $187,796.91 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S2CC,No Mangroves + CC 2050,RP050,10764," $341,688.26 ",0.9125492785589093,1.0," $260,747.56 "," $415,404.51 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S2CC,No Mangroves + CC 2050,RP050,11872," $396,831.32 ",0.901193015720306,1.0," $282,334.78 "," $821,302.82 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S2CC,No Mangroves + CC 2050,RP050,5040," $884,342.60 ",0.5596568124647066,0.4020021587348629," $404,639.31 "," $1,953,481.93 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S2CC,No Mangroves + CC 2050,RP050,21827," $513,121.62 ",0.8750239647892308,1.0," $329,112.32 "," $1,187,319.26 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
USA_FL_W2_06,Charlotte,S2CC,No Mangroves + CC 2050,RP100,2203," $375,825.32 ",0.9083611199651818,1.0," $266,548.57 "," $363,414.24 "," $431,688.47 "," $312,438.29 "," $425,586.46 "
USA_FL_W2_06,Collier,S2CC,No Mangroves + CC 2050,RP100,8797," $584,840.72 ",0.9002091147504713,1.0," $448,394.46 "," $1,006,912.82 "," $692,456.37 "," $480,079.42 "," $1,513,198.26 "
USA_FL_W2_06,Hillsborough,S2CC,No Mangroves + CC 2050,RP100,82," $427,004.37 ",0.9097932514992073,1.0," $403,678.63 "," $189,229.39 "," $486,391.90 "," $431,117.19 "," $278,937.98 "
USA_FL_W2_06,Lee,S2CC,No Mangroves + CC 2050,RP100,10764," $353,954.57 ",0.9276044123498763,1.0," $270,140.85 "," $478,369.84 "," $408,932.17 "," $299,723.52 "," $761,508.96 "
USA_FL_W2_06,Manatee,S2CC,No Mangroves + CC 2050,RP100,11872," $405,615.79 ",0.9099892426324022,1.0," $287,896.98 "," $910,367.59 "," $486,960.86 "," $334,493.33 "," $1,643,059.35 "
USA_FL_08,Miami-Dade,S2CC,No Mangroves + CC 2050,RP100,5040," $962,903.85 ",0.6495079640023554,0.5086930779747262," $471,258.83 "," $2,039,204.40 "," $2,185,580.95 "," $671,892.56 "," $5,231,707.99 "
USA_FL_W2_06,Pinellas,S2CC,No Mangroves + CC 2050,RP100,21827," $525,678.33 ",0.8853462876376265,1.0," $333,943.49 "," $1,239,448.45 "," $651,451.15 "," $379,903.00 "," $2,016,182.58 "
