region,county,scenario,scenario_label,return_period,n_buildings_fixed_sample,mean_damage,median_damage,std_damage,mean_building_value,median_building_value,std_building_value
USA_FL_W2_06,Lee,S1CC,CC 2050,RP050,10764,"$339,579.39","$258,581.73","$416,079.93","$408,932.17","$299,723.52","$761,508.96"
USA_FL_W2_06,Manatee,S1CC,CC 2050,RP050,11872,"$396,658.72","$282,230.72","$819,111.94","$486,960.86","$334,493.33","$1,643,059.35"
USA_FL_08,Miami-Dade,S1CC,CC 2050,RP050,5040,"$880,901.41","$405,117.32","$1,940,532.53","$2,185,580.95","$671,892.56","$5,231,707.99"
USA_FL_W2_06,Pinellas,S1CC,CC 2050,RP050,21827,"$513,135.10","$329,112.32","$1,187,341.08","$651,451.15","$379,903.00","$2,016,182.58"
USA_FL_W2_06,Charlotte,S1CC,CC 2050,RP100,2203,"$375,837.62","$266,570.16","$363,416.77","$431,688.47","$312,438.29","$425,586.46"
USA_FL_W2_06,Collier,S1CC,CC 2050,RP100,8797,"$584,662.13","$448,346.22","$1,009,132.51","$692,456.37","$480,079.42","$1,513,198.26"
USA_FL_W2_06,Hillsborough,S1CC,CC 2050,RP100,82,"$426,992.70","$403,678.63","$189,224.91","$486,391.90","$431,117.19","$278,937.98"
USA_FL_W2_06,Lee,S1CC,CC 2050,RP100,10764,"$352,067.32","$267,611.28","$478,409.35","$408,932.17","$299,723.52","$761,508.96"
USA_FL_W2_06,Manatee,S1CC,CC 2050,RP100,11872,"$405,537.70","$287,953.27","$907,987.60","$486,960.86","$334,493.33","$1,643,059.35"
USA_FL_08,Miami-Dade,S1CC,CC 2050,RP100,5040,"$960,373.69","$473,831.92","$2,027,188.45","$2,185,580.95","$671,892.56","$5,231,707.99"
USA_FL_W2_06,Pinellas,S1CC,CC 2050,RP100,21827,"$525,688.74","$333,965.64","$1,239,466.12","$651,451.15","$379,903.00","$2,016,182.58"
USA_FL_W2_06,Charlotte,S2CC,No Mangroves + CC 2050,RP010,2203,"$314,889.73","$216,357.79","$318,853.60","$431,688.47","$312,438.29","$425,586.46"
USA_FL_W2_06,Collier,S2CC,No Mangroves + CC 2050,RP010,8797,"$457,808.70","$375,977.75","$679,578.81","$692,456.37","$480,079.42","$1,513,198.26"
USA_FL_W2_06,Hillsborough,S2CC,No Mangroves + CC 2050,RP010,82,"$293,553.51","$234,466.73","$207,783.05","$486,391.90","$431,117.19","$278,937.98"
USA_FL_W2_06,Lee,S2CC,No Mangroves + CC 2050,RP010,10764,"$258,910.80","$165,733.49","$355,333.85","$408,932.17","$299,723.52","$761,508.96"
USA_FL_W2_06,Manatee,S2CC,No Mangroves + CC 2050,RP010,11872,"$322,104.13","$221,408.65","$710,227.78","$486,960.86","$334,493.33","$1,643,059.35"
USA_FL_08,Miami-Dade,S2CC,No Mangroves + CC 2050,RP010,5040,"$809,463.55","$327,565.57","$1,869,053.75","$2,185,580.95","$671,892.56","$5,231,707.99"
USA_FL_W2_06,Pinellas,S2CC,No Mangroves + CC 2050,RP010,21827,"$461,134.78","$298,016.14","$1,096,941.69","$651,451.15","$379,903.00","$2,016,182.58"
USA_FL_W2_06,Charlotte,S2CC,No Mangroves + CC 2050,RP025,2203,"$358,844.36","$248,444.19","$356,106.65","$431,688.47","$312,438.29","$425,586.46"
USA_FL_W2_06,Collier,S2CC,No Mangroves + CC 2050,RP025,8797,"$547,741.96","$436,320.12","$783,318.57","$692,456.37","$480,079.42","$1,513,198.26"
USA_FL_W2_06,Hillsborough,S2CC,No Mangroves + CC 2050,RP025,82,"$342,407.19","$324,646.18","$199,211.37","$486,391.90","$431,117.19","$278,937.98"
USA_FL_W2_06,Lee,S2CC,No Mangroves + CC 2050,RP025,10764,"$301,213.37","$219,238.70","$379,595.68","$408,932.17","$299,723.52","$761,508.96"
USA_FL_W2_06,Manatee,S2CC,No Mangroves + CC 2050,RP025,11872,"$376,081.85","$266,389.92","$763,363.40","$486,960.86","$334,493.33","$1,643,059.35"
USA_FL_08,Miami-Dade,S2CC,No Mangroves + CC 2050,RP025,5040,"$841,351.39","$361,700.87","$1,905,533.08","$2,185,580.95","$671,892.56","$5,231,707.99"
USA_FL_W2_06,Pinellas,S2CC,No Mangroves + CC 2050,RP025,21827,"$499,493.70","$322,138.98","$1,155,477.24","$651,451.15","$379,903.00","$2,016,182.58"
USA_FL_W2_06,Charlotte,S2CC,No Mangroves + CC 2050,RP050,2203,"$368,523.04","$255,701.38","$359,819.20","$431,688.47","$312,438.29","$425,586.46"
USA_FL_W2_06,Collier,S2CC,No Mangroves + CC 2050,RP050,8797,"$567,253.37","$443,661.05","$875,205.99","$692,456.37","$480,079.42","$1,513,198.26"
USA_FL_W2_06,Hillsborough,S2CC,No Mangroves + CC 2050,RP050,82,"$413,076.67","$390,717.04","$187,796.91","$486,391.90","$431,117.19","$278,937.98"
USA_FL_W2_06,Lee,S2CC,No Mangroves + CC 2050,RP050,10764,"$341,688.26","$260,747.56","$415,404.51","$408,932.17","$299,723.52","$761,508.96"
USA_FL_W2_06,Manatee,S2CC,No Mangroves + CC 2050,RP050,11872,"$396,831.32","$282,334.78","$821,302.82","$486,960.86","$334,493.33","$1,643,059.35"
USA_FL_08,Miami-Dade,S2CC,No Mangroves + CC 2050,RP050,5040,"$884,342.60","$404,639.31","$1,953,481.93","$2,185,580.95","$671,892.56","$5,231,707.99"
USA_FL_W2_06,Pinellas,S2CC,No Mangroves + CC 2050,RP050,21827,"$513,121.62","$329,112.32","$1,187,319.26","$651,451.15","$379,903.00","$2,016,182.58"
USA_FL_W2_06,Charlotte,S2CC,No Mangroves + CC 2050,RP100,2203,"$375,825.32","$266,548.57","$363,414.24","$431,688.47","$312,438.29","$425,586.46"
USA_FL_W2_06,Collier,S2CC,No Mangroves + CC 2050,RP100,8797,"$584,840.72","$448,394.46","$1,006,912.82","$692,456.37","$480,079.42","$1,513,198.26"
USA_FL_W2_06,Hillsborough,S2CC,No Mangroves + CC 2050,RP100,82,"$427,004.37","$403,678.63","$189,229.39","$486,391.90","$431,117.19","$278,937.98"
USA_FL_W2_06,Lee,S2CC,No Mangroves + CC 2050,RP100,10764,"$353,954.57","$270,140.85","$478,369.84","$408,932.17","$299,723.52","$761,508.96"
USA_FL_W2_06,Manatee,S2CC,No Mangroves + CC 2050,RP100,11872,"$405,615.79","$287,896.98","$910,367.59","$486,960.86","$334,493.33","$1,643,059.35"
USA_FL_08,Miami-Dade,S2CC,No Mangroves + CC 2050,RP100,5040,"$962,903.85","$471,258.83","$2,039,204.40","$2,185,580.95","$671,892.56","$5,231,707.99"
USA_FL_W2_06,Pinellas,S2CC,No Mangroves + CC 2050,RP100,21827,"$525,678.33","$333,943.49","$1,239,448.45","$651,451.15","$379,903.00","$2,016,182.58"
